filename,Description,Sample_ID_for_Data_Sharing_and_Public_Release,Tissue,Hippocampus Group
GTEX-12WSC-0011-R3a-SM-AFULY.mCC_neg.small_smooth.bw,Methylation values for CC (negative strand) using small smoothing parameters.,GTEX-12WSC-0011-R3a-SM-AFULY,Brain - Anterior cingulate cortex (BA24),
GTEX-12WSC-0011-R3a-SM-AFULY.mCC_pos.small_smooth.bw,Methylation values for CC (positive strand) using small smoothing parameters.,GTEX-12WSC-0011-R3a-SM-AFULY,Brain - Anterior cingulate cortex (BA24),
GTEX-12WSC-0011-R3a-SM-AFULY.mCG.large_smooth.bw,Methylation values for CG using large smoothing parameters.,GTEX-12WSC-0011-R3a-SM-AFULY,Brain - Anterior cingulate cortex (BA24),
GTEX-12WSC-0011-R3a-SM-AFULY.mCG.small_smooth.bw,Methylation values for CG using small smoothing parameters.,GTEX-12WSC-0011-R3a-SM-AFULY,Brain - Anterior cingulate cortex (BA24),
GTEX-12WSC-0011-R3a-SM-AFULY.mCT_neg.small_smooth.bw,Methylation values for CT (negative strand) using small smoothing parameters.,GTEX-12WSC-0011-R3a-SM-AFULY,Brain - Anterior cingulate cortex (BA24),
GTEX-12WSC-0011-R3a-SM-AFULY.mCT_pos.small_smooth.bw,Methylation values for CT (positive strand) using small smoothing parameters.,GTEX-12WSC-0011-R3a-SM-AFULY,Brain - Anterior cingulate cortex (BA24),
GTEX-1399T-0011-R3a-SM-AFUJD.mCA_neg.small_smooth.bw,Methylation values for CA (negative strand) using small smoothing parameters.,GTEX-1399T-0011-R3a-SM-AFUJD,Brain - Anterior cingulate cortex (BA24),
GTEX-1399T-0011-R3a-SM-AFUJD.mCA_pos.small_smooth.bw,Methylation values for CA (positive strand) using small smoothing parameters.,GTEX-1399T-0011-R3a-SM-AFUJD,Brain - Anterior cingulate cortex (BA24),
GTEX-1399T-0011-R3a-SM-AFUJD.mCC_neg.small_smooth.bw,Methylation values for CC (negative strand) using small smoothing parameters.,GTEX-1399T-0011-R3a-SM-AFUJD,Brain - Anterior cingulate cortex (BA24),
GTEX-1399T-0011-R3a-SM-AFUJD.mCC_pos.small_smooth.bw,Methylation values for CC (positive strand) using small smoothing parameters.,GTEX-1399T-0011-R3a-SM-AFUJD,Brain - Anterior cingulate cortex (BA24),
GTEX-1399T-0011-R3a-SM-AFUJD.mCG.large_smooth.bw,Methylation values for CG using large smoothing parameters.,GTEX-1399T-0011-R3a-SM-AFUJD,Brain - Anterior cingulate cortex (BA24),
GTEX-1399T-0011-R3a-SM-AFUJD.mCG.small_smooth.bw,Methylation values for CG using small smoothing parameters.,GTEX-1399T-0011-R3a-SM-AFUJD,Brain - Anterior cingulate cortex (BA24),
GTEX-1399T-0011-R3a-SM-AFUJD.mCT_neg.small_smooth.bw,Methylation values for CT (negative strand) using small smoothing parameters.,GTEX-1399T-0011-R3a-SM-AFUJD,Brain - Anterior cingulate cortex (BA24),
GTEX-1399T-0011-R3a-SM-AFUJD.mCT_pos.small_smooth.bw,Methylation values for CT (positive strand) using small smoothing parameters.,GTEX-1399T-0011-R3a-SM-AFUJD,Brain - Anterior cingulate cortex (BA24),
GTEX-13FHO-0011-R3b-SM-AFUME.mCA_neg.small_smooth.bw,Methylation values for CA (negative strand) using small smoothing parameters.,GTEX-13FHO-0011-R3b-SM-AFUME,Brain - Anterior cingulate cortex (BA24),
GTEX-13FHO-0011-R3b-SM-AFUME.mCA_pos.small_smooth.bw,Methylation values for CA (positive strand) using small smoothing parameters.,GTEX-13FHO-0011-R3b-SM-AFUME,Brain - Anterior cingulate cortex (BA24),
GTEX-13FHO-0011-R3b-SM-AFUME.mCC_neg.small_smooth.bw,Methylation values for CC (negative strand) using small smoothing parameters.,GTEX-13FHO-0011-R3b-SM-AFUME,Brain - Anterior cingulate cortex (BA24),
GTEX-13FHO-0011-R3b-SM-AFUME.mCC_pos.small_smooth.bw,Methylation values for CC (positive strand) using small smoothing parameters.,GTEX-13FHO-0011-R3b-SM-AFUME,Brain - Anterior cingulate cortex (BA24),
GTEX-13FHO-0011-R3b-SM-AFUME.mCG.large_smooth.bw,Methylation values for CG using large smoothing parameters.,GTEX-13FHO-0011-R3b-SM-AFUME,Brain - Anterior cingulate cortex (BA24),
GTEX-13FHO-0011-R3b-SM-AFUME.mCG.small_smooth.bw,Methylation values for CG using small smoothing parameters.,GTEX-13FHO-0011-R3b-SM-AFUME,Brain - Anterior cingulate cortex (BA24),
GTEX-13FHO-0011-R3b-SM-AFUME.mCT_neg.small_smooth.bw,Methylation values for CT (negative strand) using small smoothing parameters.,GTEX-13FHO-0011-R3b-SM-AFUME,Brain - Anterior cingulate cortex (BA24),
GTEX-13FHO-0011-R3b-SM-AFUME.mCT_pos.small_smooth.bw,Methylation values for CT (positive strand) using small smoothing parameters.,GTEX-13FHO-0011-R3b-SM-AFUME,Brain - Anterior cingulate cortex (BA24),
GTEX-13N2G-0011-R3b-SM-AFUK8.mCA_neg.small_smooth.bw,Methylation values for CA (negative strand) using small smoothing parameters.,GTEX-13N2G-0011-R3b-SM-AFUK8,Brain - Anterior cingulate cortex (BA24),
GTEX-13N2G-0011-R3b-SM-AFUK8.mCA_pos.small_smooth.bw,Methylation values for CA (positive strand) using small smoothing parameters.,GTEX-13N2G-0011-R3b-SM-AFUK8,Brain - Anterior cingulate cortex (BA24),
GTEX-13N2G-0011-R3b-SM-AFUK8.mCC_neg.small_smooth.bw,Methylation values for CC (negative strand) using small smoothing parameters.,GTEX-13N2G-0011-R3b-SM-AFUK8,Brain - Anterior cingulate cortex (BA24),
GTEX-13N2G-0011-R3b-SM-AFUK8.mCC_pos.small_smooth.bw,Methylation values for CC (positive strand) using small smoothing parameters.,GTEX-13N2G-0011-R3b-SM-AFUK8,Brain - Anterior cingulate cortex (BA24),
GTEX-13N2G-0011-R3b-SM-AFUK8.mCG.large_smooth.bw,Methylation values for CG using large smoothing parameters.,GTEX-13N2G-0011-R3b-SM-AFUK8,Brain - Anterior cingulate cortex (BA24),
GTEX-13N2G-0011-R3b-SM-AFUK8.mCG.small_smooth.bw,Methylation values for CG using small smoothing parameters.,GTEX-13N2G-0011-R3b-SM-AFUK8,Brain - Anterior cingulate cortex (BA24),
GTEX-13N2G-0011-R3b-SM-AFUK8.mCT_neg.small_smooth.bw,Methylation values for CT (negative strand) using small smoothing parameters.,GTEX-13N2G-0011-R3b-SM-AFUK8,Brain - Anterior cingulate cortex (BA24),
GTEX-13N2G-0011-R3b-SM-AFUK8.mCT_pos.small_smooth.bw,Methylation values for CT (positive strand) using small smoothing parameters.,GTEX-13N2G-0011-R3b-SM-AFUK8,Brain - Anterior cingulate cortex (BA24),
GTEX-13NYS-0011-R3b-SM-AFUKG.mCA_neg.small_smooth.bw,Methylation values for CA (negative strand) using small smoothing parameters.,GTEX-13NYS-0011-R3b-SM-AFUKG,Brain - Anterior cingulate cortex (BA24),
GTEX-13NYS-0011-R3b-SM-AFUKG.mCA_pos.small_smooth.bw,Methylation values for CA (positive strand) using small smoothing parameters.,GTEX-13NYS-0011-R3b-SM-AFUKG,Brain - Anterior cingulate cortex (BA24),
GTEX-13NYS-0011-R3b-SM-AFUKG.mCC_neg.small_smooth.bw,Methylation values for CC (negative strand) using small smoothing parameters.,GTEX-13NYS-0011-R3b-SM-AFUKG,Brain - Anterior cingulate cortex (BA24),
GTEX-13NYS-0011-R3b-SM-AFUKG.mCC_pos.small_smooth.bw,Methylation values for CC (positive strand) using small smoothing parameters.,GTEX-13NYS-0011-R3b-SM-AFUKG,Brain - Anterior cingulate cortex (BA24),
GTEX-13NYS-0011-R3b-SM-AFUKG.mCG.large_smooth.bw,Methylation values for CG using large smoothing parameters.,GTEX-13NYS-0011-R3b-SM-AFUKG,Brain - Anterior cingulate cortex (BA24),
GTEX-13NYS-0011-R3b-SM-AFUKG.mCG.small_smooth.bw,Methylation values for CG using small smoothing parameters.,GTEX-13NYS-0011-R3b-SM-AFUKG,Brain - Anterior cingulate cortex (BA24),
GTEX-13NYS-0011-R3b-SM-AFUKG.mCT_neg.small_smooth.bw,Methylation values for CT (negative strand) using small smoothing parameters.,GTEX-13NYS-0011-R3b-SM-AFUKG,Brain - Anterior cingulate cortex (BA24),
GTEX-13NYS-0011-R3b-SM-AFUKG.mCT_pos.small_smooth.bw,Methylation values for CT (positive strand) using small smoothing parameters.,GTEX-13NYS-0011-R3b-SM-AFUKG,Brain - Anterior cingulate cortex (BA24),
GTEX-13OVH-0011-R3a-SM-AFUMX.mCA_neg.small_smooth.bw,Methylation values for CA (negative strand) using small smoothing parameters.,GTEX-13OVH-0011-R3a-SM-AFUMX,Brain - Anterior cingulate cortex (BA24),
GTEX-13OVH-0011-R3a-SM-AFUMX.mCA_pos.small_smooth.bw,Methylation values for CA (positive strand) using small smoothing parameters.,GTEX-13OVH-0011-R3a-SM-AFUMX,Brain - Anterior cingulate cortex (BA24),
GTEX-13OVH-0011-R3a-SM-AFUMX.mCC_neg.small_smooth.bw,Methylation values for CC (negative strand) using small smoothing parameters.,GTEX-13OVH-0011-R3a-SM-AFUMX,Brain - Anterior cingulate cortex (BA24),
GTEX-13OVH-0011-R3a-SM-AFUMX.mCC_pos.small_smooth.bw,Methylation values for CC (positive strand) using small smoothing parameters.,GTEX-13OVH-0011-R3a-SM-AFUMX,Brain - Anterior cingulate cortex (BA24),
