Trait,Stratum,Feature,Total width (bp),Proportion of SNPs,Coefficient,Coefficient_std_error,Coefficient_z-score,Coefficient_p,Coefficient_holm,Proportion of h2,Proportion of h2 standard error,Enrichment,Enrichment_std_error
Crohns disease,Non-brain-linked,Amygdala_CG-VMRs,62173217,0.02425324582655458,-2.3168826380476625e-7,1.2504116942023525e-7,-1.852895849255169,0.9680513559164475,1,-0.007621210243874483,0.03523801572471252,-0.31423465124532374,1.4529195793715515
Depressive symptoms,Brain-linked (sig),Amygdala_CG-VMRs,62173217,0.02425324582655458,1.3368103991389491e-8,1.2725657316641778e-8,1.0504843607494887,0.14674773880357056,1,0.09277725856407723,0.04032054716586827,3.8253543145345335,1.662480455367413
Epilepsy,Brain-linked (non-sig),Amygdala_CG-VMRs,62173217,0.02425324582655458,1.1718881808761611e-7,6.331834312112342e-8,1.8507878177330441,0.03210004216844237,1,0.18570781484196855,0.08411755213664401,7.6570293382603385,3.4683008096402808
Ever smoked,Brain-linked (sig),Amygdala_CG-VMRs,62173217,0.02425324582655458,1.0588681762386784e-7,3.094610011648214e-8,3.4216530427196434,3.112084226758844e-4,0.019917339051256602,0.20781312585354977,0.05491446316032342,8.568466560711546,2.264210883485057
Extraversion,Brain-linked (non-sig),Amygdala_CG-VMRs,62173217,0.02425324582655458,6.225039770548518e-8,3.521363908415866e-8,1.7677922340463068,0.03854782184318682,1,1.042741045007137,1.9721382671150807,42.993876055362975,81.31440555291823
Focal epilepsy,Brain-linked (non-sig),Amygdala_CG-VMRs,62173217,0.02425324582655458,2.0672125211248497e-8,7.383777803603207e-8,0.2799667834148627,0.38975149459451797,1,0.06402677545505861,0.15773641102480226,2.639926050019931,6.503723755279741
Generalized epilepsy,Brain-linked (non-sig),Amygdala_CG-VMRs,62173217,0.02425324582655458,2.474781737249775e-7,1.2078268388606557e-7,2.0489540864849793,0.020233302376847916,1,0.1561725041057053,0.06344233450050289,6.43924137917713,2.61582861750573
Height,Non-brain-linked,Amygdala_CG-VMRs,62173217,0.02425324582655458,-1.334026553185136e-7,4.9429523610886035e-8,-2.698845660918607,0.9965209781418847,1,0.0013355798893490076,0.019458003088079236,0.05506808857256943,0.8022844953303078
Intracarebral hemorrhage,Brain-linked (non-sig),Amygdala_CG-VMRs,62173217,0.02425324582655458,7.418514454449306e-7,6.54736994010151e-7,1.1330525878814617,0.12859608502468756,1,0.36318553265819553,0.389527886797164,14.97471865231944,16.06085591936213
IQ,Brain-linked (sig),Amygdala_CG-VMRs,62173217,0.02425324582655458,1.253396762186439e-7,3.556312794411867e-8,3.5244277841812344,2.121992399990831e-4,0.012095356679947737,0.1371640210512565,0.02811141894774647,5.655491311644452,1.15907863008454
Ischemic stroke,Brain-linked (non-sig),Amygdala_CG-VMRs,62173217,0.02425324582655458,-3.734497975113173e-8,6.795040752955954e-8,-0.5495916964866775,0.7087002723109785,1,-0.001225414158156482,0.09869091483592644,-0.05052577980365791,4.0691837926233765
Major depressive disorder,Brain-linked (non-sig),Amygdala_CG-VMRs,62173217,0.02425324582655458,-1.53558963167173e-7,1.1165562238122279e-7,-1.3752909158741755,0.9154793641586285,1,-0.13121518810223626,0.14626849702860278,-5.410211443062617,6.030883374317478
Neuroticism,Brain-linked (sig),Amygdala_CG-VMRs,62173217,0.02425324582655458,7.123903562273492e-8,2.0552812614932435e-8,3.466145337742092,2.6398889663684723e-4,0.016367311591484527,0.13569096319643753,0.026648810419798583,5.594754787331235,1.0987729481808628
Openness,Brain-linked (non-sig),Amygdala_CG-VMRs,62173217,0.02425324582655458,1.0277056976167317e-7,9.908897245091344e-8,1.037154460478269,0.1498319387943789,1,0.20039603548950163,0.1440111338204306,8.262648097603929,5.937808689621023
PTSD,Brain-linked (non-sig),Amygdala_CG-VMRs,62173217,0.02425324582655458,-1.4078499707244886e-7,1.681664140339469e-7,-0.8371766614707579,0.7987533629990499,1,0.11521822312055513,0.15467685656292654,4.750631067879752,6.377573446007492
Schizophrenia,Brain-linked (sig),Amygdala_CG-VMRs,62173217,0.02425324582655458,4.1731581010644433e-7,7.475272936198755e-8,5.582616362883644,1.1846349275904203e-8,7.107809565542522e-7,0.15794630798333795,0.022523272049391148,6.512378141584846,0.9286704225267323
Subjective well-being,Brain-linked (sig),Amygdala_CG-VMRs,62173217,0.02425324582655458,1.9039635966268144e-8,7.573927212215557e-9,2.51383931120439,0.005971241703131982,0.3642457438910509,0.17477864850282482,0.05190416001448782,7.20640238229317,2.140091284509993
Years of education,Brain-linked (sig),Amygdala_CG-VMRs,62173217,0.02425324582655458,2.387764858599264e-8,1.0838372572756197e-8,2.2030658593535097,0.013795053535000606,0.8277032121000364,0.15327157789038398,0.04714711231779572,6.319631565461181,1.9439506223193814
ADHD,Brain-linked (sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,4.4443640520689094e-8,4.9558199401304576e-8,0.8967969187258074,0.1849136462320728,1,0.01547309965297139,0.012894866361914732,2.492143958195225,2.0768859515106532
Alzheimers disease,Brain-linked (non-sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,-5.25784870811985e-8,1.2111881452746777e-7,-0.43410668512838324,0.6678945144156179,1,-0.015612453134793312,0.0604702190500575,-2.5145886490176794,9.739515316015089
Anorexia nervosa,Brain-linked (non-sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,2.591802245972879e-7,2.7781344139755477e-7,0.9329290306958098,0.17542830608415722,1,0.03912174335347611,0.04072191233055078,6.3010656247991506,6.5587936520042405
Anxiety disorder,Brain-linked (non-sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,2.0352376136102468e-7,1.8829600700076024e-7,1.0808713610172465,0.13987716979473588,1,0.08788880407342825,0.08721178841369549,14.155635068409593,14.046592890446075
Autism spectrum disorder,Brain-linked (non-sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,-3.44460154657284e-8,2.7387897399790963e-7,-0.12577093802750738,0.5500433764219244,1,0.0017577559090594629,0.026561036912525832,0.2831094523393228,4.278000474988216
Bipolar disorder,Brain-linked (non-sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,7.40748139186733e-8,2.616974422914183e-7,0.283055169626709,0.38856727311560296,1,0.017032942862947414,0.029159185983776134,2.743376996090582,4.6964661771181415
BMI,Brain-linked (sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,1.7940839711613457e-7,1.296344045057012e-7,1.3839566571869764,0.08318586333618125,1,0.044898620765264366,0.029922349939522076,7.231506871990231,4.819383658688124
Childhood cognitive performance,Brain-linked (non-sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,2.499114970346314e-7,2.264287229835375e-7,1.1037093427974738,0.13485962076235467,1,0.04958898617290626,0.045071736467897715,7.986951228618407,7.2593894076206125
Cigarettes per day,Brain-linked (non-sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,4.440965456838613e-8,7.808251196930251e-8,0.5687528929121212,0.2847619236250332,1,0.0210345089147142,0.028013613837408125,3.3878812572206165,4.511956882453351
College attainment,Brain-linked (sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,3.260234234471196e-8,3.5920460791028705e-8,0.9076259498557029,0.18203793963448187,1,0.025206226598118983,0.018473744007617792,4.0597906517934685,2.9754367609846515
Conscientiousness,Brain-linked (non-sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,-6.439837179543362e-8,1.6108508235324868e-7,-0.3997786191908966,0.6553402100595103,1,-0.03138936727920054,0.15578059267242098,-5.055665882783102,25.09049069286461
Coronary artery disease,Non-brain-linked,Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,-3.460696109648022e-8,4.953109861699584e-8,-0.6986915708064947,0.7576275985731125,1,-0.007284677573067286,0.024756309623349747,-1.1732920751682474,3.987325670922922
Crohns disease,Non-brain-linked,Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,2.1721886438030767e-7,2.5908730909716813e-7,0.8384002486931611,0.20090297491371023,1,0.02135875304437135,0.018178490017196697,3.4401049917552906,2.9278822654495786
Depressive symptoms,Brain-linked (sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,1.574076762798055e-8,2.5145025098169662e-8,0.6259992808329445,0.2656577065187965,1,0.0214205015692363,0.021322513295116533,3.450050394849757,3.4342681087662665
Epilepsy,Brain-linked (non-sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,1.371803955238249e-7,1.0131776572064078e-7,1.3539619093266095,0.08787426517490163,1,0.05125925682679866,0.0343359185461057,8.255970042689663,5.530246290201342
Ever smoked,Brain-linked (sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,4.405318019772775e-8,5.2104185144000006e-8,0.84548256682219,0.19892073105553748,1,0.023387972187764044,0.02217675015305138,3.7669371289146376,3.5718540658218183
Extraversion,Brain-linked (non-sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,4.6793526134995025e-8,5.645101385102593e-8,0.8289226878809124,0.20357407816090667,1,0.20793359622522148,0.445765781719096,33.49041027076809,71.79637723512506
Focal epilepsy,Brain-linked (non-sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,4.7819672395937626e-8,1.121637508036172e-7,0.42633802858165004,0.33493077561836515,1,0.032136999842039445,0.060593063399449885,5.1760818315081005,9.75930099632497
Generalized epilepsy,Brain-linked (non-sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,6.17092629681791e-8,1.8889621935577067e-7,0.3266834200209943,0.37195367086010805,1,0.013857671412278748,0.025750682980154125,2.2319582281067487,4.147482433881173
Height,Non-brain-linked,Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,-1.57878599136937e-7,7.43711981180799e-8,-2.1228459824765973,0.9831166198985636,1,-0.008033260702387107,0.007677630652673841,-1.2938611249890446,1.2365822797917032
Intracarebral hemorrhage,Brain-linked (non-sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,-1.1037780786097538e-6,1.121167522634809e-6,-0.9844898789217611,0.8375626472991288,1,-0.12402076049553365,0.18896899577815707,-19.975156619660705,30.43591469562572
IQ,Brain-linked (sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,1.1047369105931592e-7,6.587990108314464e-8,1.676895217554912,0.04678148675625266,1,0.027712950315802,0.013597920342040831,4.463531111558989,2.190121939654754
Ischemic stroke,Brain-linked (non-sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,-7.696241237052105e-8,1.2244984851442642e-7,-0.6285219075747058,0.7351689500827912,1,-0.03103219438181701,0.04866352816014123,-4.998138541900598,7.837894178201697
Major depressive disorder,Brain-linked (non-sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,-3.727084058865562e-7,1.9131083284777626e-7,-1.9481824439242068,0.9743034316411644,1,-0.11019758695906974,0.07833780073096183,-17.748754723168872,12.617321749910467
Neuroticism,Brain-linked (sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,-1.4148464988951022e-9,3.302251755587426e-8,-0.0428449011042594,0.5170874145369119,1,0.0053391378502493335,0.012554791991569428,0.8599375971132655,2.0221125508087234
Openness,Brain-linked (non-sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,-2.9977566480706566e-9,2.0285524992120066e-7,-0.014777811514541222,0.5058952792520105,1,0.004717806781957068,0.06722734332247506,0.7598641468924368,10.827838070211651
PTSD,Brain-linked (non-sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,-3.4158638936637363e-07,2.6055751177905884e-7,-1.3109826964268205,0.9050681951513402,1,0.08030294374463369,0.07045007980292643,12.933833592938079,11.346901698621096
Schizophrenia,Brain-linked (sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,1.9117486538456021e-7,8.932882519638855e-8,2.1401251495725386,0.016172327061199563,0.6031625026942969,0.018795727520404763,0.00695591720730581,3.0272963937684696,1.1203409420661494
Subjective well-being,Brain-linked (sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,1.57723956680126e-8,1.3105150342127664e-8,1.2035264957862284,0.1143863222489713,1,0.035873898782621774,0.02314818945515415,5.777958011848604,3.728317000966419
Years of education,Brain-linked (sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,5.478258041426054e-9,1.599584589444568e-8,0.3424800462305215,0.36599482895103125,1,0.013148853613986326,0.01761189664504178,2.1177939020768006,2.8366250331665706
ADHD,Brain-linked (sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,4.4443640520689094e-8,4.9558199401304576e-8,0.8967969187258074,0.1849136462320728,1,0.01547309965297139,0.012894866361914732,2.492143958195225,2.0768859515106532
Alzheimers disease,Brain-linked (non-sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,-5.25784870811985e-8,1.2111881452746777e-7,-0.43410668512838324,0.6678945144156179,1,-0.015612453134793312,0.0604702190500575,-2.5145886490176794,9.739515316015089
Anorexia nervosa,Brain-linked (non-sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,2.591802245972879e-7,2.7781344139755477e-7,0.9329290306958098,0.17542830608415722,1,0.03912174335347611,0.04072191233055078,6.3010656247991506,6.5587936520042405
Anxiety disorder,Brain-linked (non-sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,2.0352376136102468e-7,1.8829600700076024e-7,1.0808713610172465,0.13987716979473588,1,0.08788880407342825,0.08721178841369549,14.155635068409593,14.046592890446075
Autism spectrum disorder,Brain-linked (non-sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,-3.44460154657284e-8,2.7387897399790963e-7,-0.12577093802750738,0.5500433764219244,1,0.0017577559090594629,0.026561036912525832,0.2831094523393228,4.278000474988216
Bipolar disorder,Brain-linked (non-sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,7.40748139186733e-8,2.616974422914183e-7,0.283055169626709,0.38856727311560296,1,0.017032942862947414,0.029159185983776134,2.743376996090582,4.6964661771181415
BMI,Brain-linked (sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,1.7940839711613457e-7,1.296344045057012e-7,1.3839566571869764,0.08318586333618125,1,0.044898620765264366,0.029922349939522076,7.231506871990231,4.819383658688124
Childhood cognitive performance,Brain-linked (non-sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,2.499114970346314e-7,2.264287229835375e-7,1.1037093427974738,0.13485962076235467,1,0.04958898617290626,0.045071736467897715,7.986951228618407,7.2593894076206125
Cigarettes per day,Brain-linked (non-sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,4.440965456838613e-8,7.808251196930251e-8,0.5687528929121212,0.2847619236250332,1,0.0210345089147142,0.028013613837408125,3.3878812572206165,4.511956882453351
College attainment,Brain-linked (sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,3.260234234471196e-8,3.5920460791028705e-8,0.9076259498557029,0.18203793963448187,1,0.025206226598118983,0.018473744007617792,4.0597906517934685,2.9754367609846515
Conscientiousness,Brain-linked (non-sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,-6.439837179543362e-8,1.6108508235324868e-7,-0.3997786191908966,0.6553402100595103,1,-0.03138936727920054,0.15578059267242098,-5.055665882783102,25.09049069286461
Coronary artery disease,Non-brain-linked,Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,-3.460696109648022e-8,4.953109861699584e-8,-0.6986915708064947,0.7576275985731125,1,-0.007284677573067286,0.024756309623349747,-1.1732920751682474,3.987325670922922
Crohns disease,Non-brain-linked,Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,2.1721886438030767e-7,2.5908730909716813e-7,0.8384002486931611,0.20090297491371023,1,0.02135875304437135,0.018178490017196697,3.4401049917552906,2.9278822654495786
Depressive symptoms,Brain-linked (sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,1.574076762798055e-8,2.5145025098169662e-8,0.6259992808329445,0.2656577065187965,1,0.0214205015692363,0.021322513295116533,3.450050394849757,3.4342681087662665
Epilepsy,Brain-linked (non-sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,1.371803955238249e-7,1.0131776572064078e-7,1.3539619093266095,0.08787426517490163,1,0.05125925682679866,0.0343359185461057,8.255970042689663,5.530246290201342
Ever smoked,Brain-linked (sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,4.405318019772775e-8,5.2104185144000006e-8,0.84548256682219,0.19892073105553748,1,0.023387972187764044,0.02217675015305138,3.7669371289146376,3.5718540658218183
Extraversion,Brain-linked (non-sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,4.6793526134995025e-8,5.645101385102593e-8,0.8289226878809124,0.20357407816090667,1,0.20793359622522148,0.445765781719096,33.49041027076809,71.79637723512506
Focal epilepsy,Brain-linked (non-sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,4.7819672395937626e-8,1.121637508036172e-7,0.42633802858165004,0.33493077561836515,1,0.032136999842039445,0.060593063399449885,5.1760818315081005,9.75930099632497
Generalized epilepsy,Brain-linked (non-sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,6.17092629681791e-8,1.8889621935577067e-7,0.3266834200209943,0.37195367086010805,1,0.013857671412278748,0.025750682980154125,2.2319582281067487,4.147482433881173
Height,Non-brain-linked,Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,-1.57878599136937e-7,7.43711981180799e-8,-2.1228459824765973,0.9831166198985636,1,-0.008033260702387107,0.007677630652673841,-1.2938611249890446,1.2365822797917032
Intracarebral hemorrhage,Brain-linked (non-sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,-1.1037780786097538e-6,1.121167522634809e-6,-0.9844898789217611,0.8375626472991288,1,-0.12402076049553365,0.18896899577815707,-19.975156619660705,30.43591469562572
IQ,Brain-linked (sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,1.1047369105931592e-7,6.587990108314464e-8,1.676895217554912,0.04678148675625266,1,0.027712950315802,0.013597920342040831,4.463531111558989,2.190121939654754
Ischemic stroke,Brain-linked (non-sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,-7.696241237052105e-8,1.2244984851442642e-7,-0.6285219075747058,0.7351689500827912,1,-0.03103219438181701,0.04866352816014123,-4.998138541900598,7.837894178201697
Major depressive disorder,Brain-linked (non-sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,-3.727084058865562e-7,1.9131083284777626e-7,-1.9481824439242068,0.9743034316411644,1,-0.11019758695906974,0.07833780073096183,-17.748754723168872,12.617321749910467
Neuroticism,Brain-linked (sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,-1.4148464988951022e-9,3.302251755587426e-8,-0.0428449011042594,0.5170874145369119,1,0.0053391378502493335,0.012554791991569428,0.8599375971132655,2.0221125508087234
Openness,Brain-linked (non-sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,-2.9977566480706566e-9,2.0285524992120066e-7,-0.014777811514541222,0.5058952792520105,1,0.004717806781957068,0.06722734332247506,0.7598641468924368,10.827838070211651
PTSD,Brain-linked (non-sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,-3.4158638936637363e-07,2.6055751177905884e-7,-1.3109826964268205,0.9050681951513402,1,0.08030294374463369,0.07045007980292643,12.933833592938079,11.346901698621096
Schizophrenia,Brain-linked (sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,1.9117486538456021e-7,8.932882519638855e-8,2.1401251495725386,0.016172327061199563,0.6031625026942969,0.018795727520404763,0.00695591720730581,3.0272963937684696,1.1203409420661494
Subjective well-being,Brain-linked (sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,1.57723956680126e-8,1.3105150342127664e-8,1.2035264957862284,0.1143863222489713,1,0.035873898782621774,0.02314818945515415,5.777958011848604,3.728317000966419
Years of education,Brain-linked (sig),Amygdala_CG-VMRs_subsetByOverlaps_DMRs,11419383,0.00620875034208569,5.478258041426054e-9,1.599584589444568e-8,0.3424800462305215,0.36599482895103125,1,0.013148853613986326,0.01761189664504178,2.1177939020768006,2.8366250331665706
ADHD,Brain-linked (sig),Anterior_cingulate_cortex_BA24_CG-VMRs,9911278,0.005627834274383784,-3.1362181288431747e-8,5.022525148187653e-8,-0.6244305476449151,0.7338275656664679,1,-0.0018243023222056839,0.011696992461403433,-0.32415707948426303,2.0784180718761815
Alzheimers disease,Brain-linked (non-sig),Anterior_cingulate_cortex_BA24_CG-VMRs,9911278,0.005627834274383784,-5.154573851079107e-8,9.228963218131249e-8,-0.5585214426851779,0.7117558167718316,1,-0.011389269359669853,0.03909773953096145,-2.0237392937298093,6.947208752916312
Anorexia nervosa,Brain-linked (non-sig),Anterior_cingulate_cortex_BA24_CG-VMRs,9911278,0.005627834274383784,1.294940131119294e-7,2.613968747671553e-7,0.49539235397239884,0.310161595438349,1,0.01499475699841291,0.034799439661595905,2.664392067595976,6.183451389105847
Anxiety disorder,Brain-linked (non-sig),Anterior_cingulate_cortex_BA24_CG-VMRs,9911278,0.005627834274383784,2.4369328839542575e-8,2.1627310428220456e-7,0.11267849934656779,0.4551427238551181,1,0.017668055808861546,0.08210464235324261,3.1394058437863466,14.58902987370441
Autism spectrum disorder,Brain-linked (non-sig),Anterior_cingulate_cortex_BA24_CG-VMRs,9911278,0.005627834274383784,-1.0105626359710926e-7,2.8983759070446486e-7,-0.3486651381261034,0.6363296402642924,1,-0.0028104968204499536,0.0255837469397518,-0.4993922499179646,4.545931115313995
Bipolar disorder,Brain-linked (non-sig),Anterior_cingulate_cortex_BA24_CG-VMRs,9911278,0.005627834274383784,3.1232247278786145e-7,2.5468981080392915e-7,1.2262856994632594,0.11004559046701794,1,0.040406227992342315,0.025303845198718,7.179711772299224,4.4961958659467856
BMI,Brain-linked (sig),Anterior_cingulate_cortex_BA24_CG-VMRs,9911278,0.005627834274383784,4.536741768663565e-8,4.911278747100286e-8,0.9237394174260919,0.1778110020815133,1,0.014501529160072097,0.010322229973653297,2.576751278209935,1.8341389370040615
Childhood cognitive performance,Brain-linked (non-sig),Anterior_cingulate_cortex_BA24_CG-VMRs,9911278,0.005627834274383784,2.774337221282413e-7,2.3619403525418225e-7,1.174600881981116,0.12007721514304655,1,0.04824812592209968,0.04259255335864159,8.573124859363876,7.56819609143612
Cigarettes per day,Brain-linked (non-sig),Anterior_cingulate_cortex_BA24_CG-VMRs,9911278,0.005627834274383784,9.877059368951223e-8,9.573734286653497e-8,1.0316830479325694,0.15111031066569908,1,0.035858687551405324,0.03153463245268017,6.371667288538209,5.603333523202055
College attainment,Brain-linked (sig),Anterior_cingulate_cortex_BA24_CG-VMRs,9911278,0.005627834274383784,3.5719223323497723e-8,4.0992929210366286e-8,0.8713508405363004,0.1917813093719741,1,0.025900173898502854,0.018792716494890033,4.602156466545699,3.339244828233278
Conscientiousness,Brain-linked (non-sig),Anterior_cingulate_cortex_BA24_CG-VMRs,9911278,0.005627834274383784,-1.60752101455506e-7,1.625503240654237e-7,-0.9889374406341144,0.8386531246511892,1,-0.09984865870371014,0.20584827619840163,-17.74193301288052,36.57681910346247
